Entry,Function [CC],Keywords,Gene Ontology (GO),Gene Names,Organism,Protein names,Binding site,Pathway,Activity regulation
A0A7L4K8R7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Dl CEUAER_R11627,Ceuthmochares aereus,DRD5L protein,,,
A0A6H0DTW9,,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989],,Homarus americanus (American lobster),Putative octopamine-tyramine receptor II,,,
A0A6P7UBW1,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],LOC115232578,Octopus sinensis (East Asian common octopus),Alpha-1A adrenergic receptor-like,,,
A0A8C8WDX7,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|RuleBase:RU368057}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,apical plasma membrane [GO:0016324]; ciliary basal body [GO:0036064]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; intercellular bridge [GO:0045171]; mitotic spindle [GO:0072686]; neuronal dense core vesicle [GO:0098992]; nucleus [GO:0005634]; receptor complex [GO:0043235]; adenylate cyclase binding [GO:0008179]; amyloid-beta binding [GO:0001540]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; potassium channel regulator activity [GO:0015459]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; AMPA selective glutamate receptor signaling pathway [GO:0098990]; bone resorption [GO:0045453]; brown fat cell differentiation [GO:0050873]; cellular response to amyloid-beta [GO:1904646]; diet induced thermogenesis [GO:0002024]; heat generation [GO:0031649]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of smooth muscle contraction [GO:0045986]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cAMP/PKA signal transduction [GO:0141163]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cardiac muscle cell contraction [GO:0106134]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of lipophagy [GO:1904504]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mini excitatory postsynaptic potential [GO:0061885]; positive regulation of transcription by RNA polymerase II [GO:0045944]; receptor-mediated endocytosis [GO:0006898]; regulation of sodium ion transport [GO:0002028]; response to cold [GO:0009409]; smooth muscle contraction [GO:0006939]; transcription by RNA polymerase II [GO:0006366],ADRB2,Panthera leo (Lion),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
A0A7K6ABX1,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Drd5_1 ONYCOR_R11691,Onychorhynchus coronatus (Royal flycatcher),DRD5 protein,,,
A0A7K8SCI6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Drd5_1 RHOROS_R02915,Rhodinocichla rosea,DRD5 protein,,,
A0A7K8WCL6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Dl SCLMEX_R06035,Sclerurus mexicanus (tawny-throated leaftosser),DRD5L protein,,,
A0A6P7KKN4,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,early endosome [GO:0005769]; plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],adrb1,Parambassis ranga (Indian glassy fish),Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
A0A1D1UV58,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],RvY_03452-1 RvY_03452.1 RvY_03452,Ramazzottius varieornatus (Water bear) (Tardigrade),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A4Z2BBJ2,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],fugu_004035,Takifugu bimaculatus,G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A6P8RLS9,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410],ADRB3,Geotrypetes seraphini (Gaboon caecilian) (Caecilia seraphini),Beta-3 adrenergic receptor isoform X2,,,
A0A2U3Z1U1,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|RuleBase:RU368057}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Leptonychotes weddellii (Weddell seal) (Otaria weddellii),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
A0A8C2LQZ2,"FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|ARBA:ARBA00024728, ECO:0000256|RuleBase:RU368057}.",Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,apical plasma membrane [GO:0016324]; ciliary basal body [GO:0036064]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; intercellular bridge [GO:0045171]; mitotic spindle [GO:0072686]; neuronal dense core vesicle [GO:0098992]; nucleus [GO:0005634]; receptor complex [GO:0043235]; adenylate cyclase binding [GO:0008179]; amyloid-beta binding [GO:0001540]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; potassium channel regulator activity [GO:0015459]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; AMPA selective glutamate receptor signaling pathway [GO:0098990]; bone resorption [GO:0045453]; brown fat cell differentiation [GO:0050873]; cellular response to amyloid-beta [GO:1904646]; diet induced thermogenesis [GO:0002024]; heat generation [GO:0031649]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of smooth muscle contraction [GO:0045986]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cAMP/PKA signal transduction [GO:0141163]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cardiac muscle cell contraction [GO:0106134]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of lipophagy [GO:1904504]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mini excitatory postsynaptic potential [GO:0061885]; positive regulation of transcription by RNA polymerase II [GO:0045944]; receptor-mediated endocytosis [GO:0006898]; regulation of sodium ion transport [GO:0002028]; response to cold [GO:0009409]; smooth muscle contraction [GO:0006939]; transcription by RNA polymerase II [GO:0006366],Adrb2,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
A0A401RVT0,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,endosome [GO:0005768]; plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410],chiPu_0000623,Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum),Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
A0A8J6GGI1,FUNCTION: The H2 subclass of histamine receptors mediates gastric acid secretion. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase. {ECO:0000256|ARBA:ARBA00053303}.,Cell membrane;Coiled coil;Cytoplasm;Disulfide bond;Exocytosis;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Neurotransmitter transport;Palmitate;Receptor;Synapse;Transducer;Transmembrane;Transmembrane helix;Transport,"cytosol [GO:0005829]; dendrite [GO:0030425]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; syntaxin binding [GO:0019905]; chemical synaptic transmission [GO:0007268]; exocytosis [GO:0006887]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; neurotransmitter transport [GO:0006836]; positive regulation of vasoconstriction [GO:0045907]",LTLLF_156600,Microtus ochrogaster (Prairie vole),Histamine H2 receptor (Gastric receptor I),,,
A0A8C4QLC8,,Behavior;Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; serotonin binding [GO:0051378]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Eptatretus burgeri (Inshore hagfish),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
G1TYQ4,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. Beta-3 is involved in the regulation of lipolysis and thermogenesis. {ECO:0000256|ARBA:ARBA00003285}.,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; receptor complex [GO:0043235]; beta-3 adrenergic receptor binding [GO:0031699]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; G protein activity [GO:0003925]; norepinephrine binding [GO:0051380]; protein homodimerization activity [GO:0042803]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; brown fat cell differentiation [GO:0050873]; diet induced thermogenesis [GO:0002024]; heat generation [GO:0031649]; negative regulation of cardiac muscle contraction [GO:0055118]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of smooth muscle contraction [GO:0045986]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of lipid catabolic process [GO:0050996]; response to cold [GO:0009409],ADRB3,Oryctolagus cuniculus (Rabbit),Beta-3 adrenergic receptor (Beta-3 adrenoreceptor),,,
A0A8C5CI46,,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],LOC115531856,Gadus morhua (Atlantic cod),Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor),,,
A0A3B4WS30,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Seriola lalandi dorsalis,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A3Q3JLI6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Monopterus albus (Swamp eel),Histamine H2 receptor (Gastric receptor I),,,
A0A6J2WE87,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; positive regulation of MAPK cascade [GO:0043410],htr1fa,Chanos chanos (Milkfish) (Mugil chanos),5-hydroxytryptamine receptor 1F,,,
A0A8C3AWW4,FUNCTION: Dopamine receptor whose activity is mediated by G proteins which activate adenylyl cyclase. {ECO:0000256|ARBA:ARBA00002363}.,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"plasma membrane [GO:0005886]; synapse [GO:0045202]; dopamine neurotransmitter receptor activity, coupled via Gs [GO:0001588]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]",,Cyclopterus lumpus (Lumpsucker),D(1B) dopamine receptor (D(5) dopamine receptor) (Dopamine D5 receptor),,,
A0A8C4RI85,,Cell membrane;Disulfide bond;Endoplasmic reticulum;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; trace-amine receptor activity [GO:0001594],LOC114647568,Erpetoichthys calabaricus (Rope fish) (Calamoichthys calabaricus),Trace amine-associated receptor 1,,,
A0A835U1P7,,Cell membrane;Disulfide bond;Endoplasmic reticulum;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; trace-amine receptor activity [GO:0001594],IHE44_000122 IHE44_0009398,Lamprotornis superbus,Trace amine-associated receptor 1,,,
A0A6P4Y546,,G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; orexin receptor activity [GO:0016499]; feeding behavior [GO:0007631],LOC109466282,Branchiostoma belcheri (Amphioxus),Orexin receptor type 1-like,,,
A0A7I8VIM6,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],DGYR_LOCUS4021,Dimorphilus gyrociliatus,DgyrCDS4262,,,
A0A8C0BEA0,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,early endosome [GO:0005769]; plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410],,Buteo japonicus,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
A0A6P8IC15,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930],LOC116298783,Actinia tenebrosa (Australian red waratah sea anemone),Probable G-protein coupled receptor No18,,,
B3DIE4,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881],adrb3b zgc:194843 zgc:194852,Danio rerio (Zebrafish) (Brachydanio rerio),Adrenoceptor beta 3b (Beta-3-adrenergic receptor b),,,
A0A437BYU7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,neuron projection [GO:0043005]; plasma membrane [GO:0005886]; neuropeptide binding [GO:0042923]; somatostatin receptor activity [GO:0004994]; cellular response to estradiol stimulus [GO:0071392]; cellular response to glucocorticoid stimulus [GO:0071385],OJAV_G00234080,Oryzias javanicus (Javanese ricefish) (Aplocheilus javanicus),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A3Q3WY47,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Mola mola (Ocean sunfish) (Tetraodon mola),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
Q29XY7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],dop1,Aplysia californica (California sea hare),Dopamine D-1 like receptor,,,
A0A3Q3ITU6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Monopterus albus (Swamp eel),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A891XIE1,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; tachykinin receptor activity [GO:0004995],,Carausius morosus (Indian stick insect) (Dixippus morosus),Tachykinin-Like peptides receptor isoform X2,,,
A0A1S2ZBF4,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. Beta-3 is involved in the regulation of lipolysis and thermogenesis. {ECO:0000256|ARBA:ARBA00003285}.,Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],LOC103107895,Erinaceus europaeus (Western European hedgehog),Beta-3 adrenergic receptor (Beta-3 adrenoreceptor),,,
A0A6P7Y737,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,early endosome [GO:0005769]; plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410],ADRB1,Microcaecilia unicolor,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
A0A8T0B517,,Behavior;Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; serotonin binding [GO:0051378]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; positive regulation of MAPK cascade [GO:0043410],HF521_002074,Silurus meridionalis (Southern catfish) (Silurus soldatovi meridionalis),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A7J7VAG3,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. This receptor binds epinephrine and norepinephrine with approximately equal affinity. Mediates Ras activation through G(s)-alpha- and cAMP-mediated signaling. Involved in the regulation of sleep/wake behaviors. {ECO:0000256|ARBA:ARBA00045239}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,early endosome [GO:0005769]; plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410],mPipKuh1_000399,Pipistrellus kuhlii (Kuhl's pipistrelle),Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
Q5G6N0,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|RuleBase:RU368057}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Anoura geoffroy (Geoffroy's tailless bat),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
